X trueY nnY L2norm
  0.3030303121E-01  0.9182737003E-03 -0.8067518192E-02  0.8074445593E-04
  0.6060606241E-01  0.3673094801E-02 -0.1065404201E-02  0.2245337279E-04
  0.9090909362E-01  0.8264463303E-02  0.6880841211E-02  0.1914410092E-05
  0.1212121248      0.1469237920E-01  0.1584260154E-01  0.1323011427E-05
  0.1515151560      0.2295684251E-01  0.2589502632E-01  0.8632924126E-05
  0.1818181872      0.3305785321E-01  0.3711681084E-01  0.1647513707E-04
  0.2121212184      0.4499541131E-01  0.4958986449E-01  0.2110899999E-04
  0.2424242496      0.5876951682E-01  0.6339884899E-01  0.2143071632E-04
  0.2727272809      0.7438016972E-01  0.7863056738E-01  0.1806588021E-04
  0.3030303121      0.9182737003E-01  0.9537318462E-01  0.1257280110E-04
  0.3333333433      0.1111111177      0.1137152618      0.6781566102E-05
  0.3636363745      0.1322314128      0.1337445880      0.2289699183E-05
  0.3939394057      0.1551882553      0.1555467991      0.1285536299E-06
  0.4242424369      0.1799816453      0.1792037753      0.6050817039E-06
  0.4545454681      0.2066115826      0.2047918214      0.3311530654E-05
  0.4848484993      0.2350780673      0.2323796401      0.7281509003E-05
  0.5151515007      0.2653810687      0.2620260919      0.1125586945E-04
  0.5454545617      0.2975206789      0.2937779908      0.1400771383E-04
  0.5757575631      0.3314967715      0.3276673228      0.1466467713E-04
  0.6060606241      0.3673094801      0.3637092515      0.1296164597E-04
  0.6363636255      0.4049586639      0.4018991838      0.9360418672E-05
  0.6666666865      0.4444444709      0.4422111022      0.4987935965E-05
  0.6969696879      0.4857667459      0.4845950104      0.1372963980E-05
  0.7272727489      0.5289256514      0.5289760131      0.2536300346E-08
  0.7575757504      0.5739210175      0.5752526147      0.1773150937E-05
  0.7878788114      0.6207530214      0.6232970139      0.6471897790E-05
  0.8181818128      0.6694214787      0.6729546974      0.1248363410E-04
  0.8484848738      0.7199265810      0.7240463073      0.1697214445E-04
  0.8787878752      0.7722681296      0.7763687973      0.1681547605E-04
  0.9090909362      0.8264463303      0.8296989841      0.1057975695E-04
  0.9393939376      0.8824609700      0.8837962313      0.1782922791E-05
  0.9696969986      0.9403122691      0.9384074466      0.3628348637E-05
   1.000000000       1.000000000      0.9932709024      0.4528075449E-04
