X trueY nnY L2norm
  0.9057827342      0.8204423615      0.8238351457      0.1151098455E-04
  0.8294350087      0.6879624336      0.6917708045      0.1450368917E-04
  0.5414201481      0.2931357768      0.2894278773      0.1374851909E-04
  0.9988635817      0.9977284549      0.9912119924      0.4246428287E-04
  0.6191391914E-01  0.3833333383E-02 -0.7424436986E-03  0.2093773590E-04
  0.1070776634      0.1146562599E-01  0.1153144104E-01  0.4331620529E-08
  0.8374187081      0.7012700928      0.7052346549      0.1571775323E-04
  0.2879055527      0.8288960725E-01  0.8682225550E-01  0.1546572229E-04
  0.6958576728      0.4842179008      0.4830038347      0.1473956599E-05
  0.2178359868E-01  0.4745251713E-03 -0.9875410917E-02  0.1071211770E-03
  0.8086322708E-01  0.6538861495E-02  0.4137617057E-02  0.5765974847E-05
  0.4386639698      0.1924260784      0.1911361559      0.1663900136E-05
  0.7447013803      0.5545801458      0.5553677794      0.6203666334E-06
  0.5288417137      0.2796735582      0.2761078386      0.1271435566E-04
  0.1086293655      0.1180033905E-01  0.1199337340E-01  0.3726226370E-07
  0.7755449888E-01  0.6014700297E-02  0.3258077651E-02  0.7598968412E-05
  0.6551424213      0.4292115921      0.4266330580      0.6648838141E-05
  0.5630797972      0.3170588580      0.3132277098      0.1467769659E-04
  0.3077425950      0.9470550476E-01  0.9811821644E-01  0.1164660099E-04
  0.8315916053      0.6915445979      0.6953985546      0.1485298234E-04
  0.9254261870      0.8564136276      0.8587814390      0.5606531071E-05
  0.2397724006      0.5749080410E-01  0.6213487433E-01  0.2156738832E-04
  0.6643634529      0.4413787976      0.4390735913      0.5313975819E-05
  0.5267403208      0.2774553656      0.2739182742      0.1251101509E-04
  0.2621855212      0.6874124751E-01  0.7316491819E-01  0.1956886233E-04
  0.9263569137      0.8581371316      0.8604443697      0.5323348000E-05
  0.9650011735      0.9312272649      0.9299216024      0.1704754470E-05
  0.7191056933      0.5171129982      0.5168234673      0.8382814544E-07
  0.2929209176      0.8580266397E-01  0.8961426083E-01  0.1452827064E-04
  0.5029999998      0.2530089998      0.2498873315      0.9744813174E-05
  0.2154576979      0.4642201958E-01  0.5104328076E-01  0.2135605493E-04
  0.5157698857      0.2660185750      0.2626528637      0.1132801217E-04
  0.6920909231      0.4789898458      0.4776340771      0.1838108961E-05
  0.4878472550      0.2379949442      0.2352207776      0.7696000441E-05
  0.7538760062      0.5683290328      0.5695050751      0.1383075493E-05
  0.2498285581      0.6241430844E-01  0.6698589423E-01  0.2089939663E-04
